Date,Open,High,Low,Close,Adj Close,Volume,TwitterSentiment
2017-01-03,62.790001,62.84,62.130001,62.580002,58.538418,20694100,0.49925299
2017-01-04,62.48,62.75,62.119999,62.299999,58.276497,21340000,-0.995186195
2017-01-05,62.189999,62.66,62.029999,62.299999,58.276497,24876000,0.318698227
2017-01-06,62.299999,63.150002,62.040001,62.84,58.781628,19922900,-0.348996778
2017-01-09,62.759998,63.080002,62.540001,62.639999,58.594547,20382700,-0.074359914
2017-01-10,62.73,63.07,62.279999,62.619999,58.575832,18593000,-0.977744386
2017-01-11,62.610001,63.23,62.43,63.189999,59.109024,21517300,-0.981694967
2017-01-12,63.060001,63.400002,61.950001,62.610001,58.566483,20968200,-0.97798866
2017-01-13,62.619999,62.869999,62.349998,62.700001,58.650673,19422300,-0.4797405
2017-01-17,62.68,62.700001,62.029999,62.529999,58.491653,20664000,-0.996626109
2017-01-18,62.669998,62.700001,62.119999,62.5,58.463589,19670100,-0.999344607
2017-01-19,62.240002,62.98,62.200001,62.299999,58.276497,18451700,0.088635057
2017-01-20,62.669998,62.82,62.369999,62.740002,58.688091,30213500,-0.072070509
2017-01-23,62.700001,63.119999,62.57,62.959999,58.893887,23097600,-0.057100207
2017-01-24,63.200001,63.740002,62.939999,63.52,59.417717,24672900,-0.97863844
2017-01-25,63.950001,64.099998,63.450001,63.68,59.567375,23672700,-0.548113659
2017-01-26,64.120003,64.540001,63.549999,64.269997,60.11927,43554600,-0.066103235
2017-01-27,65.389999,65.910004,64.889999,65.779999,61.531754,44818000,-0.56753552
2017-01-30,65.690002,65.790001,64.800003,65.129997,60.923737,31651400,-0.464981273
2017-01-31,64.860001,65.150002,64.260002,64.650002,60.474731,25270500,-0.563280299
2017-02-01,64.360001,64.620003,63.470001,63.580002,59.47385,39671500,-0.454927683
2017-02-02,63.25,63.41,62.75,63.169998,59.090317,45827000,0.00906837
2017-02-03,63.5,63.700001,63.07,63.68,59.567375,30301800,-0.39475508
2017-02-06,63.5,63.650002,63.139999,63.639999,59.529961,19796400,0.012166545
2017-02-07,63.740002,63.779999,63.23,63.43,59.333527,20277200,-0.991362542
2017-02-09,63.52,64.440002,63.32,64.059998,59.92284,22644400,-0.999088546
2017-02-10,64.25,64.300003,63.98,64,59.866722,18170700,-0.484438568
2017-02-13,64.239998,64.860001,64.129997,64.720001,60.540215,22920100,-0.999498447
2017-02-14,64.410004,64.720001,64.019997,64.57,60.766087,23108400,-0.872682214
2017-02-15,64.5,64.57,64.160004,64.529999,60.728432,17005200,-0.17344592
2017-02-16,64.739998,65.239998,64.440002,64.519997,60.719021,20546300,0.84427911
2017-02-17,64.470001,64.690002,64.300003,64.620003,60.813133,21248800,0.979773164
2017-02-21,64.610001,64.949997,64.449997,64.489998,60.690792,20655900,-0.960904956
2017-02-22,64.330002,64.389999,64.050003,64.360001,60.568455,19292700,0.193000108
2017-02-24,64.529999,64.800003,64.139999,64.620003,60.813133,21796800,-0.428819016
2017-02-27,64.540001,64.540001,64.050003,64.230003,60.44611,15871500,-0.381916374
2017-02-28,64.080002,64.199997,63.759998,63.98,60.210835,23239800,-0.991624951
2017-03-01,64.129997,64.989998,64.019997,64.940002,61.114292,26937500,0.715359807
2017-03-02,64.690002,64.75,63.880001,64.010002,60.239067,24539600,-0.997382522
2017-03-03,63.990002,64.279999,63.619999,64.25,60.464928,18135900,0.494450882
2017-03-06,63.970001,64.559998,63.810001,64.269997,60.483749,18750300,0.753750294
2017-03-08,64.260002,65.080002,64.25,64.989998,61.161335,21510900,-0.832036018
2017-03-09,65.190002,65.199997,64.480003,64.730003,60.91666,19846800,-0.999807894
2017-03-10,65.110001,65.260002,64.75,64.93,61.104862,19538200,0.715359807
2017-03-13,65.010002,65.190002,64.57,64.709999,60.897831,20100000,-0.976414442
2017-03-14,64.529999,64.550003,64.150002,64.410004,60.615509,14280200,-0.425293724
2017-03-15,64.550003,64.919998,64.25,64.75,60.935478,24833800,-0.946988523
2017-03-16,64.75,64.760002,64.300003,64.639999,60.831951,20674300,0.786539108
2017-03-20,64.910004,65.18,64.720001,64.93,61.104862,14598100,0.998252571
2017-03-21,65.190002,65.5,64.129997,64.209999,60.42728,26640500,-0.17706579
2017-03-22,64.120003,65.139999,64.120003,65.029999,61.198975,20680000,-0.334575772
2017-03-23,64.940002,65.239998,64.769997,64.870003,61.048401,19269200,-0.140730739
2017-03-24,65.360001,65.449997,64.760002,64.980003,61.151939,22617100,-0.995636046
2017-03-27,64.629997,65.220001,64.349998,65.099998,61.264854,18614700,-0.978034675
2017-03-28,64.959999,65.470001,64.650002,65.290001,61.443665,20080400,-0.470927447
2017-03-29,65.120003,65.5,64.949997,65.470001,61.61306,13618400,0.574825644
2017-03-30,65.419998,65.980003,65.360001,65.709999,61.838917,15122800,-0.397681693
2017-04-03,65.809998,65.940002,65.190002,65.550003,61.688347,20400900,-0.52549547
2017-04-04,65.389999,65.809998,65.279999,65.730003,61.85775,12997400,0.574825644
2017-04-05,66.300003,66.349998,65.440002,65.559998,61.697758,21448600,-0.593390599
2017-04-06,65.599998,66.059998,65.480003,65.730003,61.85775,18103500,0.165660997
2017-04-07,65.849998,65.959999,65.440002,65.68,61.810692,14108500,0.930376261
2017-04-10,65.610001,65.82,65.360001,65.529999,61.669502,17952700,0.728072524
2017-04-11,65.599998,65.610001,64.849998,65.480003,61.622463,18791500,-0.566398785
2017-04-12,65.419998,65.510002,65.110001,65.230003,61.387192,17108500,-0.098337501
2017-04-13,65.290001,65.860001,64.949997,64.949997,61.123684,17896500,0.812510028
2017-04-18,65.330002,65.709999,65.160004,65.389999,61.537777,15155600,-0.068387881
2017-04-19,65.650002,65.75,64.889999,65.040001,61.208393,26992800,-0.991327077
2017-04-20,65.459999,65.75,65.139999,65.5,61.641296,22299500,0.616051316
2017-04-21,65.669998,66.699997,65.449997,66.400002,62.488274,32522600,-0.882323653
2017-04-24,67.480003,67.660004,67.099998,67.529999,63.551697,29770000,-0.084418342
2017-04-25,67.900002,68.040001,67.599998,67.919998,63.918732,30242700,-0.218862563
2017-04-26,68.080002,68.309998,67.620003,67.830002,63.83403,26190800,-0.080414936
2017-04-27,68.150002,68.379997,67.580002,68.269997,64.2481,34971000,-0.935534447
2017-04-28,68.910004,69.139999,67.690002,68.459999,64.42691,39548800,-0.443327218
2017-05-01,68.68,69.550003,68.5,69.410004,65.320953,31954400,-0.440380454
2017-05-02,69.709999,69.709999,69.129997,69.300003,65.21743,23906100,0.088083774
2017-05-03,69.379997,69.379997,68.709999,69.080002,65.010406,28928000,0.286360383
2017-05-04,69.029999,69.080002,68.639999,68.809998,64.756287,21749400,-0.597227871
2017-05-05,68.900002,69.029999,68.489998,69,64.935097,19128800,-0.90818283
2017-05-08,68.970001,69.050003,68.419998,68.940002,64.878624,18566100,-0.849464864
2017-05-09,68.860001,69.279999,68.68,69.040001,64.972763,22858400,-0.946360926
2017-05-10,68.989998,69.559998,68.919998,69.309998,65.226837,17977800,-0.972547591
2017-05-11,68.360001,68.730003,68.120003,68.459999,64.42691,28789400,-0.983294144
2017-05-12,68.610001,68.610001,68.040001,68.379997,64.351639,18714100,0.477383628
2017-05-15,68.139999,68.480003,67.57,68.43,64.398674,31530300,0.323964377
2017-05-16,68.230003,69.440002,68.160004,69.410004,65.695374,34956000,-0.057206333
2017-05-17,68.889999,69.099998,67.43,67.480003,63.868652,30548800,-0.894066006
2017-05-18,67.400002,68.129997,67.139999,67.709999,64.086342,25201300,0.776314437
2017-05-19,67.5,68.099998,67.43,67.690002,64.067421,26961100,-0.922927777
2017-05-22,67.889999,68.5,67.5,68.449997,64.786751,16237600,-0.102280751
2017-05-23,68.720001,68.75,68.379997,68.68,65.004425,15425800,-0.36799036
2017-05-25,68.970001,69.879997,68.910004,69.620003,65.894119,21854100,-0.880380213
2017-05-26,69.800003,70.220001,69.519997,69.959999,66.215904,19827900,-0.331490835
2017-05-30,69.790001,70.410004,69.769997,70.410004,66.641869,17072800,-0.090319455
2017-05-31,70.529999,70.739998,69.809998,69.839996,66.102333,30436400,-0.125581965
2017-06-01,70.239998,70.610001,69.449997,70.099998,66.348419,21603600,-0.989035308
2017-06-02,70.440002,71.860001,70.239998,71.760002,67.919594,34770300,-0.999518991
2017-06-05,71.970001,72.889999,71.809998,72.279999,68.411766,33316800,0.422630787
2017-06-06,72.300003,72.620003,72.269997,72.519997,68.638924,31511100,-0.353229503
2017-06-08,72.510002,72.519997,71.5,71.949997,68.099426,24588300,0.878974855
2017-06-09,72.040001,72.080002,68.589996,70.32,66.556664,49187400,0.84617722
2017-06-12,69.25,69.940002,68.129997,69.779999,66.045563,47761700,0.366260961
2017-06-13,70.019997,70.82,69.959999,70.650002,66.869003,25258600,0.715359807
2017-06-14,70.910004,71.099998,69.43,70.269997,66.509346,25510700,-0.03090696
