Datetime,Text
2017-01-01 17:53:02+00:00,"Lumia 550 and 650 discounted at online #Microsoft Store, if you can find them in stock. Read more: https://t.co/UkcLm0D5Km $MSFT"
2017-01-02 19:32:54+00:00,$MSFT Microsoft Dividend Stock Analysis =&gt; https://t.co/ljxTb5edWG via @KenFaulkenberry #dividend #growth #technology #yield #analysis https://t.co/BqsxJUTqFE
2017-01-02 18:50:38+00:00,"Tesco still has #Microsoft Lumia devices in stock, as well as its approved partners in the UK. Read more: https://t.co/O09GqEu220 $MSFT"
2017-01-02 10:16:55+00:00,Why is the #Microsoft Store pruning Lumia stock?. Read more: https://t.co/Jbp1DMvY0K $MSFT
2017-01-02 09:57:09+00:00,Why is the #Microsoft Store pruning Lumia stock?. Read more: https://t.co/yXOw2cqb28 $MSFT
2017-01-03 16:49:44+00:00,3 Strengths That Make #Microsoft Corporation Stock A Buy Now. Read more: https://t.co/P9EJebvVdI $MSFT
2017-01-03 14:30:03+00:00,3 Strengths That Make Microsoft Corporation (MSFT) Stock A Buy Now @shudeepc $MSFT https://t.co/EWEUiM21GN
2017-01-03 09:54:30+00:00,3 Strengths That Make Microsoft Corporation (MSFT) Stock A Buy Now $MSFT https://t.co/EWEUiM21GN https://t.co/23DqRemUFl
2017-01-03 05:06:29+00:00,Microsoft Corporation | $MSFT Stock | Shares Spike Down As... https://t.co/AxmClicgAL #microsoftcorporation
2017-01-04 20:23:33+00:00,Microsoft Corporation | $MSFT Stock | Shares Spike Down As... https://t.co/LwOnGgjGbn #microsoftcorporation
2017-01-04 19:19:59+00:00,"Microsoft Corporation: Is $MSFT Stock A Better Buy Than $AAPL Stock Now?
https://t.co/hjRZe5VHN4"
2017-01-04 19:19:18+00:00,"Microsoft Corporation: Is $MSFT Stock A Better Buy Than $AAPL Stock Now?
https://t.co/hM0y7g0iRq"
2017-01-04 17:08:02+00:00,#Microsoft Corporation (): Is Stock A Better Buy Than AAPL Stock Now?. Read more: https://t.co/lluZVN9tGR $MSFT
2017-01-05 18:53:55+00:00,"Tesco still has #Microsoft Lumia devices in stock, as well as its approved partners in the UK. Read more: https://t.co/d1R1YEYJMh $MSFT"
2017-01-05 18:15:50+00:00,"Microsoft Corporation Stock Is a Steady, Not Sexy, Investment $MSFT $ORCL $GOOGL $AMZN $IBM https://t.co/yQrv8QTB34 https://t.co/87RoHiJMnv"
2017-01-05 15:00:04+00:00,3 Strengths That Make Microsoft Corporation (MSFT) Stock A Buy Now @shudeepc $MSFT https://t.co/EWEUiM21GN
2017-01-06 15:57:40+00:00,"Microsoft Stock Is a Steady, Not Sexy, Investment  https://t.co/fUY78MgRE6 $MSFT $GOOGL $GOOG $AMZN $ORCL $IBM #tech #stock #dividend #cloud https://t.co/nFPPS5uY7y"
2017-01-06 15:57:40+00:00,"Microsoft Stock Is a Steady, Not Sexy, Investment  https://t.co/YKSJWsxD4Y $MSFT $GOOGL $GOOG $AMZN $ORCL $IBM #tech #stock #dividend #cloud https://t.co/dTDtJd8MXb"
2017-01-06 06:20:05+00:00,A number of Lumias are back in stock in the US #Microsoft Store. Read more: https://t.co/e6jo38HZLP $MSFT
2017-01-07 17:15:39+00:00,#Microsoft Corporation (): Is Stock A Better Buy Than AAPL Stock Now?. Read more: https://t.co/yeapwsjOFX $MSFT
