Datetime,Text
2019-01-01 23:57:15+00:00,@PollsTesla @AngelNDevil2 @BarkMSmeagol I think it's overvalued too. I'm a Tesla bull. Find me a growth stock that is fair value and I'll back up the truck.
2019-01-01 23:56:08+00:00,Tesla Stock Drops After Elon Musk’s Emotional Interview With The NYT https://t.co/F3BWj0Yv8S https://t.co/F47Hx4Prxp
2019-01-01 23:42:04+00:00,@realDonaldTrump Nothing to see here...stock market is down.... but gas is low....this is why I drive an @Tesla I don't care about gas anymore or the politics behind it.
2019-01-01 23:24:56+00:00,"@ScottMColbert @ElonsPromises Tesla is the bigger fish in this case.  It will be fried not by IRS, but by DOJ, and the stock market."
2019-01-01 23:18:27+00:00,Tesla stock drops as Elon Musk has gaming disorder.
2019-01-01 22:53:34+00:00,"@JackWildcat @evdefender @TeslaCharts @InsideEVs @elonmusk Problem is, would it be worth spending 100s of millions to keep the stock inflated? There's only one man for whom it would make sense, but he doesn't have real money. Would he lend against $TSLA stock to spend in on @Tesla to inflate $TSLA stock? Doesn't sound like a plan"
2019-01-01 22:34:30+00:00,"$TSLA Buy Tesla Stock on the Dip, Analyst Says https://t.co/ZW2FMEY2UC via @BarronsOnline"
2019-01-01 22:22:35+00:00,@sagar_vaibhav @itskrtk @Tesla @elonmusk Sorry u lost your a$$ shorting the stock....JK no I'm not 🖕
2019-01-01 22:20:48+00:00,"@TilmanWinkler @DeanSheikh1 @TeslaCharts @InsideEVs @Tesla It may help the stock to keep it's current valuation longer. Tesla is facing headwinds, though:

Other manufacturers are making better quality EVs this year (Porsche, Audi, jaguar). 

Warranty costs to Tesla look to be high. 

Their FIT tax credit decreases before others."
2019-01-01 22:17:26+00:00,"@cazin678 @TheAdaptedMind @Chris89294958 I’ve only maintained short Tesla for 2 years and it is easily one of my top performers. The only long positions ive ever had in Tesla were equity hedges. 

Stock price bro at his finest here."
2019-01-01 22:11:53+00:00,"Saxo Bank’s crazy predictions: Apple buying Tesla, Netflix stock crashing &amp; solar flare causes chaos https://t.co/vQD0jdibuN"
2019-01-02 23:48:39+00:00,Tesla’s Stock Plummets After It Cuts Price of All Models https://t.co/37NVE5skA8
2019-01-02 23:45:52+00:00,"@elonmusk Musk, I'm holding a Tesla stock right now. Will you lead him to the world?"
2019-01-02 23:45:39+00:00,#Tesla #Stock #Drops as #Company #Slashes #Vehicle Prices..https://t.co/Om0JvLlJRy
2019-01-02 23:38:06+00:00,Do you know that you can trade TESLA STOCK using options? (I'm not referring to those crappy binaries...)  You could speculate that Tesla stock will go up or down or nowhere (!) with options.  Here's how to Trade Tesla Stock with Options; Neutral Stance 🚘 https://t.co/zzWoVrdu70
2019-01-02 23:38:00+00:00,Do you know that you can trade TESLA STOCK using options? (I'm not referring to those crappy binaries...)  You could speculate that Tesla stock will go up or down or nowhere (!) with options.  Here's how to Trade Tesla Stock with Options; Neutral Stance 🚘 https://t.co/je7216xdVm
