Datetime,Text
2020-01-01 10:46:07+00:00,$MSFT's in Uptrend: Moving Average Convergence Divergence (MACD) Histogram crosses above signal line. View odds for this and other indicators: https://t.co/MYHs7xrnTV #Microsoft #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/SeoJqgH2Xu
2020-01-01 06:25:58+00:00,Microsoft $MSFT Stock Rating Reaffirmed by DZ Bank https://t.co/S4IGemYeSC
2020-01-01 00:41:48+00:00,"Apple, Microsoft top Dow 2019 standings; Walgreens wobbles to the bottom https://t.co/vSQO9naZRE $AAPL, $MSFT, $JPM, $PG, $INTC, $HD, $IBM, $KO, $JNJ, $MCD, $CVX, $VZ, $XOM, $MMM, $PFE Great Dividend Stock BUY JPM, IBM, XOM, CVX, PG, INTC,  HD,  KO, JNJ, MCD, VZ, MMM, PFE !"
2020-01-02 20:19:32+00:00,"My top 5 stock picks for 2019:
$SPCE (virgin galactic)
$MSFT (Microsoft)
$TSLA (Tesla)
$QURE
$SQ (Square)"
2020-01-02 09:06:18+00:00,$MSFT's in Uptrend: Moving Average Convergence Divergence (MACD) Histogram crosses above signal line. View odds for this and other indicators: https://t.co/YmVq5wBO4e #Microsoft #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/QPhNGhhTIt
2020-01-02 07:24:28+00:00,Here's How Much Investing $100 In Microsoft Stock Back In 2010 Would Be Worth Today $MSFT $SPY https://t.co/6vhOcyG9h0 via @benzinga
2020-01-03 18:15:38+00:00,"Mark Tepper (.@MarkTepperSWP) is taking profits in Microsoft $MSFT and Apple $AAPL, but his favorite technology stock is Salesforce $CRM.

https://t.co/3ekaVpxQr2"
2020-01-03 10:33:07+00:00,"$MSFT enters an Uptrend as Momentum Indicator exceeded the 0 level on December 12, 2019. View odds for this and other indicators: https://t.co/XMd2Y2qb8s #Microsoft #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/Bd7MJQOptp"
2020-01-04 23:15:30+00:00,"$MSFT Here is Why 2020 Could Be Another Big Year for Microsoft Stock  https://t.co/lE8ZazQKtj 
 
Cloud computing will be a huge 2020 driver 
 
Pro... https://t.co/uHCInQl0Tj"
2020-01-04 19:36:10+00:00,"The simple rule Peter Lynch used to check if a growth stock is over or undervalued.
Compare earnings growth rate vs stocks PE
Using this rule $MSFT Microsoft is overvalued 
$MSFT P/E 22
5 year historical earnings growth rate 13%
Projected 1 year EPS growth rate 12%"
2020-01-04 16:25:11+00:00,$MSFT NEW ARTICLE : Here's Why 2020 Could Be Another Big Year for Microsoft Stock https://t.co/qU2Y7KtAha Get all the latest $MSFT related news here : https://t.co/CPou29KaU6 https://t.co/e0glocU27X
2020-01-04 12:56:10+00:00,$MSFT's in Uptrend: Moving Average Convergence Divergence (MACD) Histogram crosses above signal line. View odds for this and other indicators: https://t.co/JxKW016FJi #Microsoft #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/ugZuk2bTsg
2020-01-05 12:39:42+00:00,Here's Why 2020 Could Be Another Big Year for Microsoft Stock @themotleyfool #stocks $MSFT https://t.co/qjTucFQ8Vx
2020-01-05 12:12:25+00:00,$MSFT's in Uptrend: Moving Average Convergence Divergence (MACD) Histogram crosses above signal line. View odds for this and other indicators: https://t.co/FMmcvMGJsm #Microsoft #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/OrTdVtFjUx
2020-01-06 14:52:09+00:00,Apple. Amazon. Alphabet/Google. Microsoft. Which tech titan is the best stock pick for a long-term investor? My story. $AAPL $AMZN $GOOGL $MSFT https://t.co/kB3y5Bronx
2020-01-06 12:53:07+00:00,$MSFT NEW ARTICLE : The Fundamentals Say Microsoft Stock Will Keep Moving Higher in 2020 https://t.co/pAc1lwXCIl Get all the latest $MSFT related news here : https://t.co/CPou29KaU6 https://t.co/2tC4PPLyKp
2020-01-06 10:23:02+00:00,$MSFT's in Uptrend: Moving Average Convergence Divergence (MACD) Histogram crosses above signal line. View odds for this and other indicators: https://t.co/bOidT0OGhn #Microsoft #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/aeDWht35rI
2020-01-07 16:43:03+00:00,"$FB Facebook, $MSFT Microsoft, $JPM JPMorgan Chase - You have a 1 in 60 chance of getting one share of stock in one of these companies each time a friend signs up. You and all your friends can earn up to $500. each in free stock! https://t.co/7eEaxCsrnz #Robinhood"
2020-01-07 10:59:37+00:00,"$MSFT enters an Uptrend as Momentum Indicator exceeded the 0 level on December 12, 2019. View odds for this and other indicators: https://t.co/zKgqd0BlA6 #Microsoft #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/CRNE1Zuxyh"
2020-01-08 17:25:18+00:00,$MSFT Microsoft price target raised to $189 from $158 by $MS Morgan Stanley. I am long Microsoft and I like this stock! $DJI. Microsoft products are used globally and they will not be replaced anytime soon!
2020-01-08 16:57:14+00:00,$MSFT NEW ARTICLE : Microsoft Stock Is Likely to See a Nice Dividend Boost in 2020 https://t.co/rblOSCfKIL Get all the latest $MSFT related news here : https://t.co/CPou29KaU6 https://t.co/7SvlWQCVmD
2020-01-08 09:54:02+00:00,"$MSFT enters an Uptrend because Momentum Indicator exceeded the 0 level on December 12, 2019. View odds for this and other indicators: https://t.co/yQsRwUUGYU #Microsoft #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/XYB7KgqFo1"
2020-01-09 21:40:05+00:00,Microsoft Stock Is Likely to See a Nice Dividend Boost in 2020 via TheMotleyFool #MicrosoftNews $MSFT #faangreport https://t.co/eHqiDiHVXH
2020-01-09 14:49:06+00:00,"$MSFT NEW ARTICLE : Between M&amp;A and Cloud Growth, Microsoft Stock Looks Unstoppable https://t.co/dCvpujtosZ Get all the latest $MSFT related news here : https://t.co/CPou29KaU6 https://t.co/tLZdFv4PCj"
2020-01-09 11:56:37+00:00,Wesbush raises $MSFT Microsoft price target from $185 to $195. I am bullish on this stock. It’s got a lot of room to run up and it’s a great company with global footprint.
2020-01-09 10:53:50+00:00,"$MSFT enters an Uptrend because Momentum Indicator exceeded the 0 level on December 12, 2019. View odds for this and other indicators: https://t.co/mR0JIfUbA9 #Microsoft #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/Q4yLLEKwzn"
2020-01-10 19:49:13+00:00,via GerberKawasaki: Answering your stock and option questions with @BsiflingTrades - what do I do now with all these gains on Tesla. Apple Microsoft etc.  ? - $tsla $aapl $msft https://t.co/biqTyJPRq5 $tsla
2020-01-10 19:47:47+00:00,Answering your stock and option questions with @BsiflingTrades - what do I do now with all these gains on Tesla. Apple Microsoft etc.  ? - $tsla $aapl $msft https://t.co/oaLY3B2EUc
2020-01-10 19:43:13+00:00,via GerberKawasaki: Answering your stock and option questions with @BsiflingTrades - what do I do now with all these gains on Tesla. Apple Microsoft etc.  ? - $tsla $aapl $msft  https://t.co/019rIJmwkp $tsla
2020-01-10 18:00:01+00:00,"""According to Barron’s, Morgan Stanley’s Keith Weiss predicts Microsoft’s $MSFT market value could exceed $1 trillion. Yesterday, the analyst maintained his 'overweight' rating on the stock and raised his price estimate to $189 from $157.""
#Microsoft 
https://t.co/oFHRWzfgXB"
2020-01-11 20:05:03+00:00,$MSFT NEW ARTICLE : Why Microsoft Stock Climbed 55% in 2019 https://t.co/MvKiMmMDS9 Get all the latest $MSFT related news here : https://t.co/CPou29KaU6 https://t.co/mx1v4BtCrg
2020-01-11 13:25:51+00:00,"$MSFT enters an Uptrend because Momentum Indicator exceeded the 0 level on December 12, 2019. View odds for this and other indicators: https://t.co/W6vGQuINU4 #Microsoft #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/TTpb0Js8qv"
2020-01-11 09:38:38+00:00,Microsoft $MSFT Stock Rating Reaffirmed by Jefferies Financial Group  https://t.co/wxZdZiAVDv #investingnews
2020-01-11 09:26:34+00:00,"Top story: Ross Gerber: ""Answering your stock and option questions with @BsiflingTrades - what do I do now with all these gains on Tesla. Apple Microsoft etc.  ? - $tsla $aapl $msft"" https://t.co/LXBYbRnXJz, see more https://t.co/n0N9i96D3w"
2020-01-12 10:11:39+00:00,"$MSFT enters an Uptrend as Momentum Indicator exceeded the 0 level on December 12, 2019. View odds for this and other indicators: https://t.co/2YVjUQC55O #Microsoft #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/JxMWs26osd"
